iter	MAE
0	0.1426345187
1	0.1373953485
2	0.1325435574
3	0.127994424
4	0.1237918292
5	0.1198441039
6	0.1161339301
7	0.1127009528
8	0.1094814064
9	0.1065025525
10	0.1036133533
11	0.1008064763
12	0.09828100819
13	0.09589053232
14	0.09360226861
15	0.09146038748
16	0.08946390702
17	0.08767115396
18	0.08595433715
19	0.08432445888
20	0.08290224646
21	0.08152793204
22	0.08012143987
23	0.0787231138
24	0.07750806155
25	0.07632005409
26	0.07525234662
27	0.07422318943
28	0.07325455597
29	0.07235570216
30	0.07155064632
31	0.07074512461
32	0.07008168808
33	0.06939837905
34	0.06874096338
35	0.06814188065
36	0.06758331817
37	0.06704116163
38	0.0665714998
39	0.06608120993
40	0.06563789676
41	0.06521069218
42	0.06487709941
43	0.06453252405
44	0.06415530943
45	0.06384047189
46	0.06350379945
47	0.06322164126
48	0.06294473284
49	0.06268355932
50	0.06245156473
51	0.06223834822
52	0.06202870799
53	0.0618313934
54	0.06155722888
55	0.06133791028
56	0.06116166413
57	0.06096659099
58	0.060780701
59	0.06060292478
60	0.060472975
61	0.06033768889
62	0.0601852687
63	0.06005505084
64	0.05990097576
65	0.05978997664
66	0.05969268424
67	0.05952557802
68	0.05944222889
69	0.05934077036
70	0.05925346417
71	0.05917762005
72	0.05904828146
73	0.05896991526
74	0.05887005373
75	0.05879830597
76	0.05873660065
77	0.05866653791
78	0.05859992478
79	0.05854442238
80	0.05847995026
81	0.05839435419
82	0.05831581438
83	0.05826795426
84	0.05822167053
85	0.05815630545
86	0.05811254103
87	0.05807305448
88	0.0579214633
89	0.05782705029
90	0.05776807732
91	0.05771942221
92	0.05765133222
93	0.05761512726
94	0.05756178768
95	0.05743428618
96	0.05738562646
97	0.05735230382
98	0.05730782765
99	0.0572689278
100	0.05722874564
101	0.05720244
102	0.0571388451
103	0.05709504106
104	0.05701194984
105	0.05692891306
106	0.05686749441
107	0.05674633304
108	0.0566767173
109	0.05664783082
110	0.05661233186
111	0.05656028743
112	0.05650275863
113	0.05647570605
114	0.05643518307
115	0.05641897642
116	0.05640488132
117	0.05636149665
118	0.05629735829
119	0.05620189687
120	0.05616962212
121	0.05611805191
122	0.05608889868
123	0.05603181703
124	0.05598465655
125	0.05595548822
126	0.0558337105
